id,image_url,content_text,is_person
0,https://pbs.twimg.com/profile_images/1550535324501164032/0lTW_4tj_400x400.jpg,Président de la République française.,Yes
1,https://pbs.twimg.com/profile_images/1579490008221753344/1FRw5-yx_400x400.jpg,Député et conseillère départementale du Pas-de-Calais. Présidente du groupe RN à l’Assemblée nationale.,Yes
2,https://pbs.twimg.com/profile_images/1903460984326402048/xnGwPwen_400x400.jpg,"Président du Rassemblement National, Député européen.",Yes
3,https://pbs.twimg.com/profile_images/1107616725892300800/lb57LtJ4_400x400.jpg,"Journaliste au pôle enquêtes de @Mediapart,
, autrice de podcasts. pascale.pascariello@mediapart.fr",Yes
4,https://pbs.twimg.com/profile_images/1019886363515211776/D2TBSqHw_400x400.jpg,"L'actualité en direct et en continu avec le média global du service public.",No
5,https://pbs.twimg.com/profile_images/1665736545620328448/tt2qqGul_400x400.png,"Morceaux choisis des fils d'actu, coulisses & reposts des 1.700 journalistes de l'AFP à travers le monde",No
6,https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_400x400.jpg,"There's space for everybody. ✨

Verification: http://nasa.gov/socialmedia",No
7,https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_400x400.jpg,"what's happening?!",No
8,https://pbs.twimg.com/profile_images/1890190838619058177/0WAUPkdj_400x400.jpg,"“I Said I Love You First” Out Now 🖤",Yes
9,https://pbs.twimg.com/profile_images/1170690523201527808/FriNRiir_400x400.png,"Serving sports fans. Anytime. Anywhere.

Fill out your Tournament Challenge brackets NOW ✍️

TCM: http://spr.ly/61810wi0V
TCW: http://spr.ly/618305jNz",No
10,https://pbs.twimg.com/profile_images/1902939669144408065/o-wzdiJG_400x400.jpg,"Hi ! We are BTS !",No
11,https://pbs.twimg.com/profile_images/1677636815606648832/axEaSSRr_400x400.jpg,"Proud Indian | Founder @STF_India",Yes
12,https://pbs.twimg.com/profile_images/1909827094877532160/sMHAWlsw_400x400.jpg,"The 2024-25 NBA season continues Wednesday on ESPN! 🏀 7:30pm/et: @Lakers
/@dallasmavs
 🏀 10pm/et: @nuggets
/@SacramentoKings",No
13,https://pbs.twimg.com/profile_images/1570498434532089858/VeyQlH3U_400x400.jpg,This is Chimamanda Ngozi Adichie’s official Twitter.,Yes
