image_url,content_text
https://pbs.twimg.com/profile_images/1550535324501164032/0lTW_4tj_400x400.jpg,Président de la République française.
https://pbs.twimg.com/profile_images/1579490008221753344/1FRw5-yx_400x400.jpg,Député et conseillère départementale du Pas-de-Calais. Présidente du groupe RN à l’Assemblée nationale.
https://pbs.twimg.com/profile_images/1903460984326402048/xnGwPwen_400x400.jpg,"Président du Rassemblement National, Député européen."
https://pbs.twimg.com/profile_images/1107616725892300800/lb57LtJ4_400x400.jpg,"Journaliste au pôle enquêtes de @Mediapart
, autrice de podcasts. pascale.pascariello@mediapart.fr"
https://pbs.twimg.com/profile_images/1019886363515211776/D2TBSqHw_400x400.jpg,"L'actualité en direct et en continu avec le média global du service public."
https://pbs.twimg.com/profile_images/1665736545620328448/tt2qqGul_400x400.png,"Morceaux choisis des fils d'actu, coulisses & reposts des 1.700 journalistes de l'AFP à travers le monde"
https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_400x400.jpg,"There's space for everybody. ✨

Verification: http://nasa.gov/socialmedia"
https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_400x400.jpg,"what's happening?!"
https://pbs.twimg.com/profile_images/1890190838619058177/0WAUPkdj_400x400.jpg,"“I Said I Love You First” Out Now 🖤"
https://pbs.twimg.com/profile_images/1170690523201527808/FriNRiir_400x400.png,"Serving sports fans. Anytime. Anywhere.

Fill out your Tournament Challenge brackets NOW ✍️

TCM: http://spr.ly/61810wi0V
TCW: http://spr.ly/618305jNz"
https://pbs.twimg.com/profile_images/1902939669144408065/o-wzdiJG_400x400.jpg,"Hi ! We are BTS !"
https://pbs.twimg.com/profile_images/1677636815606648832/axEaSSRr_400x400.jpg,"Proud Indian | Founder @STF_India"
https://pbs.twimg.com/profile_images/1909827094877532160/sMHAWlsw_400x400.jpg,"The 2024-25 NBA season continues Wednesday on ESPN! 🏀 7:30pm/et: @Lakers
/@dallasmavs
 🏀 10pm/et: @nuggets
/@SacramentoKings"
https://pbs.twimg.com/profile_images/1570498434532089858/VeyQlH3U_400x400.jpg,This is Chimamanda Ngozi Adichie’s official Twitter.
